 5body sun and 4 planet
 13
m  x y z vx vy vz 
1.00    0.00    0.00   0.000   0.0000   0.00    0.0000
1.0    5.00    0.00   0.000   0.0000   0.00    0.0000
1.0    10.00   0.00   0.000   0.0000   0.00    0.0000
1.0    20.00   0.00   0.000   0.0000   0.0    0.0000
1.0    40.00   0.00   0.000   0.0000   0.0    0.0000
1.0    -5.0     0.00  0.000   0.00     0.0     0.0
1.0    -10.0    0.0   0.0     0.0      0.0     0.0 
1.0    -20.0    0.0   0.0     0.0      0.0      0.0 
1.0    -40.0    0.0   0.0     0.0      0.0      0.0
1.0     0.0     5.0   0.0     0.0      0.0     0.0
1.0     0.0     10.0   0.0    0.0      0.0     0.0 
1.0     0.0     20.0  0.0     0.0      0.0     0.0
1.0     0.0     40.0   0.0    0.0       0.0     0.0

