 5body sun and 4 planet
 
pid pname m  x y z vx vy vz 
 1.0000       0.0000             0.0000         0.0000        0.0000            0.0000           0.0000
 0.165e-6    -2.5033E-01	+1.8732E-01	+1.2602E-01  -2.4388E-02	-1.8502E-02	-7.3530E-03
 2.445e-6    +1.7477E-02	-6.6242E-01	-2.9912E-0   +2.0085E-02	+8.3654E-04	-8.9478E-04
 3.00e-6     -9.0919E-01	+3.5929E-01	+1.5577E-01  -7.0858E-03	-1.4556E-02	-6.3109E-03
 0.321e-6    +1.2030E+00	+7.2707E-01	+3.0095E-01  -7.1244E-03	+1.1663E-02	+5.5420E-03
 9.540e-4    +3.7330E+00	+3.0524E+00	+1.2174E+00  -5.0865E-03	+5.4936E-03	+2.4786E-03
 2.850e-4    +6.1644E+00	+6.3667E+00	+2.3645E+00  -4.4268E-03	+3.3940E-03	+1.5922E-03
 4.200e-5    +1.4579E+01	-1.2368E+01	-5.6236E+00  +2.6475E-03	+2.4874E-03	+1.0520E-03
 5.100e-5    +1.6954E+01	-2.2887E+01	-9.7899E+00  +2.5686E-03	+1.6818E-03	+6.2456E-04
  

